rating_int,y_unit,psi,bin_count,alpha_prior,baseline_cum,u_logit_mu_sigma
40,0.400990099009901,0.04737141927945715,3197.0,3555.145908623972,0.03755640739941936,0.6815663573011778
41,0.41089108910891087,0.04847188388406157,3436.0,3307.930350823236,0.038531678072354865,0.7886442742697106
42,0.4207920792079208,0.049915780430250314,3319.0,3424.5050047528503,0.039533804489828406,0.9002073407012618
43,0.4306930693069307,0.05090433960198777,2962.0,3837.109893951894,0.040522363661565856,1.0172883311361773
44,0.4405940594059406,0.05424075977828374,3700.0,3071.968823501611,0.04147067435266442,1.1411788757916845
45,0.4504950495049505,0.055272149939020576,2668.0,4259.781422172897,0.04250206451340126,1.2735390311230192
46,0.4603960396039604,0.05810768040028392,2577.0,4410.146088355105,0.04341576139402981,1.4165686364196228
47,0.47029702970297027,0.06621274399172933,2633.0,4316.384440311109,0.04431787036639586,1.5732883025744642
48,0.4801980198019802,0.0798508686137715,1853.0,6132.339059212223,0.045225386795043294,1.748027427132691
49,0.4900990099009901,0.0806692012491639,2090.0,5437.281977895486,0.046043719430435684,1.9473352174138925
50,0.5,0.08151355455949749,1861.0,6105.991737797778,0.046888072740769275,2.1818498205912094
51,0.5099009900990099,0.08233196566566546,1916.0,5930.806789660648,0.04770648384693725,2.4706666907784465
52,0.5198019801980198,0.0851353225522769,1981.0,5736.305053370062,0.048531015673600464,2.8537391749785472
53,0.5297029702970297,0.14515248725970606,1840.0,6175.641833666194,0.04936290735628971,3.4410662517972663
54,0.5396039603960396,0.1459689693902415,2436.0,4665.308418456899,0.05017938948682514,4.874041939788756
55,0.5495049504950495,0.1468526025941781,1504.0,7554.389777926553,0.051063022690761725,5.303304908059075
56,0.5594059405940595,0.1476301116869792,1633.0,6957.990584932351,0.05184053178356285,5.303304908059075
57,0.5693069306930693,0.14842126181146958,1570.0,7237.018851546442,0.05263168190805322,5.303304908059075
58,0.5792079207920792,0.14920464801399996,986.0,11519.104980526305,0.0534150681105836,5.303304908059075
59,0.5891089108910891,0.1499214652323152,1443.0,7873.515661897135,0.05413188532889884,5.303304908059075
60,0.599009900990099,0.15068962459076624,1078.0,10536.938476162615,0.054900044687349894,5.303304908059075
61,0.6089108910891089,0.15141641228240257,1067.0,10645.464996048186,0.05562683237898622,5.303304908059075
62,0.6188118811881188,0.15214137874932207,955.0,11892.632443283956,0.05635179884590572,5.303304908059075
63,0.6287128712871287,0.15285343501685028,919.0,12357.996321499415,0.05706385511343391,5.303304908059075
64,0.6386138613861386,0.1535613475589456,1021.0,11124.615083932938,0.05777176765552924,5.303304908059075
65,0.6485148514851485,0.15428062548023835,765.0,14842.502109372665,0.05849104557682199,5.303304908059075
66,0.6584158415841584,0.15497056470110904,701.0,16195.664694842539,0.05918098479769269,5.303304908059075
67,0.6683168316831684,0.1556527517120758,610.0,18607.78496854249,0.059863171808659445,5.303304908059075
68,0.6782178217821783,0.1563242491294796,465.0,23207.50482910688,0.060534669226063244,5.303304908059075
69,0.6881188118811881,0.15697894911608687,424.0,23207.50482910688,0.06118936921267051,5.303304908059075
70,0.698019801980198,0.15762855318710384,236.0,23207.50482910688,0.061838973283687496,5.303304908059075
