dimension,image,elo,comparisons,url
atrakcyjna,2321.jpg,1714.659520829007,20,https://langtorch.org/static/gandalf/2321.jpg
atrakcyjna,2637.jpg,1714.6424047074192,20,https://langtorch.org/static/gandalf/2637.jpg
atrakcyjna,1800.jpg,1714.482713680854,20,https://langtorch.org/static/gandalf/1800.jpg
atrakcyjna,1833.jpg,1714.4627136101637,20,https://langtorch.org/static/gandalf/1833.jpg
atrakcyjna,388.jpg,1713.9465887201252,20,https://langtorch.org/static/gandalf/388.jpg
atrakcyjna,2618.jpg,1713.385046637466,20,https://langtorch.org/static/gandalf/2618.jpg
atrakcyjna,1520.jpg,1713.251967648585,30,https://langtorch.org/static/gandalf/1520.jpg
atrakcyjna,1134.jpg,1713.186890800033,20,https://langtorch.org/static/gandalf/1134.jpg
atrakcyjna,1710.jpg,1712.7063155184828,100,https://langtorch.org/static/gandalf/1710.jpg
atrakcyjna,1861.jpg,1712.4820905135252,20,https://langtorch.org/static/gandalf/1861.jpg
atrakcyjna,1519.jpg,1711.2183977850782,70,https://langtorch.org/static/gandalf/1519.jpg
atrakcyjna,1182.jpg,1711.0565165206456,20,https://langtorch.org/static/gandalf/1182.jpg
atrakcyjna,1616.jpg,1710.7340054634553,20,https://langtorch.org/static/gandalf/1616.jpg
atrakcyjna,1598.jpg,1709.4300651582369,20,https://langtorch.org/static/gandalf/1598.jpg
atrakcyjna,2034.jpg,1709.1365277683863,20,https://langtorch.org/static/gandalf/2034.jpg
atrakcyjna,2523.jpg,1708.6452243106378,20,https://langtorch.org/static/gandalf/2523.jpg
atrakcyjna,81.jpg,1708.5902507376954,50,https://langtorch.org/static/gandalf/81.jpg
atrakcyjna,2997.jpg,1708.5590876417534,20,https://langtorch.org/static/gandalf/2997.jpg
atrakcyjna,2507.jpg,1708.4276240548836,30,https://langtorch.org/static/gandalf/2507.jpg
atrakcyjna,608.jpg,1707.6976553678944,30,https://langtorch.org/static/gandalf/608.jpg
atrakcyjna,112.jpg,1707.1698497731177,20,https://langtorch.org/static/gandalf/112.jpg
atrakcyjna,549.jpg,1707.007592689376,20,https://langtorch.org/static/gandalf/549.jpg
atrakcyjna,2488.jpg,1706.978529880223,50,https://langtorch.org/static/gandalf/2488.jpg
atrakcyjna,1284.jpg,1706.2094449175356,70,https://langtorch.org/static/gandalf/1284.jpg
atrakcyjna,1527.jpg,1706.0259870262187,20,https://langtorch.org/static/gandalf/1527.jpg
atrakcyjna,2962.jpg,1705.9060776514107,20,https://langtorch.org/static/gandalf/2962.jpg
atrakcyjna,1318.jpg,1704.5324644099853,30,https://langtorch.org/static/gandalf/1318.jpg
atrakcyjna,1073.jpg,1704.2402976669462,20,https://langtorch.org/static/gandalf/1073.jpg
atrakcyjna,777.jpg,1704.1865989954933,20,https://langtorch.org/static/gandalf/777.jpg
atrakcyjna,1932.jpg,1703.4460138302254,50,https://langtorch.org/static/gandalf/1932.jpg
atrakcyjna,1737.jpg,1703.3674698467219,40,https://langtorch.org/static/gandalf/1737.jpg
atrakcyjna,1994.jpg,1702.3547748547555,40,https://langtorch.org/static/gandalf/1994.jpg
atrakcyjna,2889.jpg,1701.7594903414058,30,https://langtorch.org/static/gandalf/2889.jpg
atrakcyjna,2748.jpg,1701.7155451603412,20,https://langtorch.org/static/gandalf/2748.jpg
atrakcyjna,1723.jpg,1701.6850953495314,20,https://langtorch.org/static/gandalf/1723.jpg
atrakcyjna,528.jpg,1701.6543858868808,30,https://langtorch.org/static/gandalf/528.jpg
atrakcyjna,776.jpg,1701.2901700608593,50,https://langtorch.org/static/gandalf/776.jpg
atrakcyjna,2514.jpg,1700.8416048019103,30,https://langtorch.org/static/gandalf/2514.jpg
atrakcyjna,445.jpg,1700.5470653981345,20,https://langtorch.org/static/gandalf/445.jpg
atrakcyjna,2711.jpg,1699.8679220213678,30,https://langtorch.org/static/gandalf/2711.jpg
atrakcyjna,1347.jpg,1698.8859096452893,20,https://langtorch.org/static/gandalf/1347.jpg
atrakcyjna,651.jpg,1698.2732935814352,20,https://langtorch.org/static/gandalf/651.jpg
atrakcyjna,763.jpg,1698.1039845517907,20,https://langtorch.org/static/gandalf/763.jpg
atrakcyjna,1096.jpg,1698.0106437159573,30,https://langtorch.org/static/gandalf/1096.jpg
atrakcyjna,886.jpg,1697.2736863898956,30,https://langtorch.org/static/gandalf/886.jpg
atrakcyjna,2118.jpg,1697.153974898651,40,https://langtorch.org/static/gandalf/2118.jpg
atrakcyjna,1356.jpg,1696.4553561696987,40,https://langtorch.org/static/gandalf/1356.jpg
atrakcyjna,2036.jpg,1695.8505032210294,20,https://langtorch.org/static/gandalf/2036.jpg
atrakcyjna,869.jpg,1694.7888331534866,40,https://langtorch.org/static/gandalf/869.jpg
atrakcyjna,2884.jpg,1694.2619613081145,20,https://langtorch.org/static/gandalf/2884.jpg
atrakcyjna,2272.jpg,1693.7552188417203,40,https://langtorch.org/static/gandalf/2272.jpg
atrakcyjna,935.jpg,1693.2709277829013,20,https://langtorch.org/static/gandalf/935.jpg
atrakcyjna,2674.jpg,1693.0698587814206,20,https://langtorch.org/static/gandalf/2674.jpg
atrakcyjna,2511.jpg,1693.040161396859,10,https://langtorch.org/static/gandalf/2511.jpg
atrakcyjna,1453.jpg,1692.567271305556,20,https://langtorch.org/static/gandalf/1453.jpg
