photo,Theta,sigma,n
135.jpg,0.5482751797103435,0.13682823888134285,170
136.jpg,-2.1573786914522435,0.9494050347949052,170
137.jpg,-0.8719516690467126,0.7137843866936895,170
138.jpg,0.7851843828315562,0.17767123922286587,170
139.jpg,0.05183572903193109,0.33915246700752916,170
14.jpg,0.244025051485231,0.26841779029186086,170
140.jpg,0.757848409213602,0.15969914162527646,170
141.jpg,0.2517453069476794,0.2823935702933536,170
142.jpg,0.13227898056573714,0.30766620797242084,170
143.jpg,0.7472011002620706,0.16228146356641965,170
144.jpg,0.7872257364594412,0.18095309892641195,170
145.jpg,0.42550019567117775,0.10448037956207676,170
146.jpg,0.7898199375730488,0.18197133076580754,170
147.jpg,1.0873209021207302,0.2510897824893479,170
148.jpg,0.7893530420446675,0.17098845988079953,170
149.jpg,1.1267371262572987,0.26436317872592413,170
15.jpg,-0.8984830570620447,0.7101156264745471,170
150.jpg,0.4515454527457376,0.3023218103044709,170
151.jpg,0.8865510413686639,0.19115736313128745,170
152.jpg,-2.2164831005002337,0.971143289741703,170
153.jpg,0.29378076391541325,0.27849885241978567,170
154.jpg,0.8711113541305414,0.21152120542913644,170
155.jpg,0.14400404246529713,0.23908611628290943,170
156.jpg,0.5167027557084838,0.1481204128739698,170
157.jpg,-2.1661669481822052,0.9781930481517557,170
158.jpg,0.8777613596320109,0.1981524624542673,170
159.jpg,0.45546234124396706,0.14615601076391557,170
16.jpg,1.1404833306427158,0.2699276710953336,170
160.jpg,0.9462377794554852,0.28822932880631835,170
161.jpg,-0.2991116484656462,0.5607386259789869,170
162.jpg,0.5309032500296216,0.1477243977492293,170
163.jpg,1.0298033276002267,0.2371338983509713,170
164.jpg,-2.2068203355271763,0.967607793922138,170
165.jpg,0.5565913948850806,0.1152939167556255,170
166.jpg,-0.5582656602450333,0.6270879133502747,170
167.jpg,0.8848908649373978,0.19738925356986617,170
168.jpg,0.18227116027448503,0.311966535925379,170
169.jpg,0.821154744159362,0.17510123895375765,170
17.jpg,-0.7177890934260337,0.6953273360508962,170
170.jpg,0.8248222010504801,0.18021651053362023,170
171.jpg,0.46777746262120923,0.25348467261432933,170
172.jpg,-2.138051380524346,0.9422749002017355,170
173.jpg,0.5004452781748812,0.22211133536976024,170
174.jpg,-2.1871126117579784,0.960388882758958,170
175.jpg,-0.3471102595173338,0.5428038882840771,170
176.jpg,0.13000730469197092,0.4036049975820033,170
177.jpg,0.6723111403368022,0.1391020280319583,170
178.jpg,-0.22673808219409475,0.4857999950744592,170
179.jpg,0.3120336409517437,0.3639295388316466,170
18.jpg,-0.4848515487639753,0.6657040920967169,170
180.jpg,0.234121812008712,0.3037225304955444,170
181.jpg,0.5925404175637513,0.12998581943057128,170
182.jpg,0.33200673740857245,0.2624621758590924,170
183.jpg,0.1424133668482166,0.25200254269519856,170
184.jpg,0.4595679271703782,0.2411968136041765,170
185.jpg,-0.108876738110699,0.45485611986117114,170
186.jpg,-0.13212519021744898,0.43030305097619226,170
187.jpg,0.14073070682530256,0.30302403521631943,170
188.jpg,-0.6290491906019106,0.668949951312919,170
189.jpg,0.9424835142612707,0.21785358306295238,170
19.jpg,-0.299328607816837,0.480007570855418,170
190.jpg,0.7269306566275191,0.14899055503626238,170
191.jpg,0.5372859743793195,0.15594852043331991,170
192.jpg,0.448207930129607,0.3244728225222849,170
193.jpg,0.9624364363393985,0.20995984400694503,170
194.jpg,-2.1936334563583415,0.9627555029897324,170
195.jpg,0.27073856782278993,0.259216048505834,170
196.jpg,0.4016096558938306,0.16708894200905183,170
197.jpg,0.8544360383276765,0.18908911173268736,170
198.jpg,0.6576552777864332,0.14923149372396355,170
199.jpg,0.5261740788372331,0.14704116442551404,170
2.jpg,0.18618594705244834,0.35259056696737373,170
20.jpg,-0.4514140852320133,0.6264242090061569,170
200.jpg,1.0010215850456743,0.23502377697593513,170
201.jpg,0.9565912772097177,0.21444116806781466,170
202.jpg,0.3202307020371903,0.23834740047050043,170
203.jpg,0.30078697397168247,0.17118112674803396,170
204.jpg,-0.6469142258644534,0.63193763524146,170
205.jpg,0.11807470334121019,0.4677217862830917,170
206.jpg,0.5250122238396369,0.12766642703929312,170
207.jpg,-0.8352077211717871,0.7068433192252336,170
208.jpg,0.45742286496065526,0.13378094861091697,170
209.jpg,-0.22746573347005572,0.5334100436483895,170
21.jpg,-0.08423916840137241,0.45360305972965786,170
210.jpg,0.1305166428944005,0.28377871188976644,170
211.jpg,0.3810587146987545,0.21624389923458426,170
212.jpg,0.6370507354933074,0.12500982103526834,170
213.jpg,0.3954461443329623,0.1724309748769114,170
214.jpg,-2.029288696287134,0.9478939994639657,170
215.jpg,0.45250556670689246,0.271929817403722,170
216.jpg,0.06245035985874887,0.35239479249830363,170
217.jpg,-1.1543410755208672,0.780189179641367,170
218.jpg,-2.2202238796895073,0.9725109692920259,170
219.jpg,0.12986114897710166,0.41907646099865153,170
22.jpg,0.5411941569043982,0.18297895228732028,170
220.jpg,-0.13126147193068785,0.5219335310775424,170
221.jpg,0.5550420552948041,0.136055226669122,170
222.jpg,-0.13226014559119542,0.475504936984897,170
223.jpg,0.7690039979179637,0.18026637555435854,170
224.jpg,-0.40489044625586834,0.49792685767465766,170
225.jpg,0.6743732582151355,0.1387059276468452,170
226.jpg,-2.205302432030606,0.9670366194153701,170
227.jpg,0.4619795653869547,0.2555272324511229,170
228.jpg,-0.08281620220010073,0.3985272215941589,170
229.jpg,0.8569429052528046,0.18944799933613615,170
23.jpg,0.7066415530099784,0.13721152691195107,170
230.jpg,0.4986247185944345,0.10650525092647602,170
231.jpg,-1.4972642510201761,0.9198865642521457,170
232.jpg,-2.20250911004009,0.966025378345006,170
233.jpg,0.9912451842593871,0.22338856304613167,170
234.jpg,0.6837495201777657,0.1532141175766371,170
235.jpg,-1.995523559231896,0.9413688128241898,170
236.jpg,0.6525951700593728,0.1394622756230605,170
237.jpg,0.48378518646424146,0.13775135586026663,170
238.jpg,0.7620774950477515,0.16910230162403597,170
239.jpg,0.394299054672607,0.21974695888109602,170
24.jpg,1.1525373792921956,0.27293894318067063,170
240.jpg,0.5561827099827742,0.1421640248384268,170
241.jpg,0.6750680288317833,0.1253651309295727,170
242.jpg,0.7928258535303077,0.16951564704700636,170
243.jpg,-2.194492363469837,0.9630412586226735,170
244.jpg,-0.26606913607222976,0.5456678777971155,170
245.jpg,0.3038488126005911,0.19969530233659472,170
246.jpg,-0.327491331477433,0.5644239911229944,170
247.jpg,-0.6129602866807496,0.5974284088775756,170
248.jpg,0.5894493317334966,0.13674280067536448,170
249.jpg,-0.5233164676968741,0.5983400158605522,170
25.jpg,0.7562623903989119,0.1569141662199346,170
250.jpg,0.11604628304287838,0.292107377299514,170
251.jpg,0.009158419009377677,0.33833067827373736,170
252.jpg,-1.8407536667961213,0.9446704068425189,170
253.jpg,0.9816038915120132,0.22494857413872937,170
254.jpg,0.8416874598068317,0.18940139995982366,170
255.jpg,-0.629515637808485,0.6567209286623944,170
256.jpg,-1.357346518944993,0.7964573588677215,170
