,POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency,cond_arousal,cond_origin
50,szloch,-1.3010683982436453,-1.6444199771437542,-1.6185713259914036,0.8121263765273932,-2.4866879973608706,-2.3987077804932757,0.8142250000087186,0.08669782910167495,0.2544162582054653,0.23606467863286712,1.952110277933052,-0.2993873819257222,0.4379520017034948,0.0,-1.0
51,ekskrementy,2.0784584195769535,0.3256248638051078,-1.7307834700016211,1.8654210183238096,-1.5546129485202533,1.1732700572756098,-0.25567959589545763,0.3313524164594123,0.020355357831853008,2.202459269612343,-0.4867082819691416,1.7562599058915074,-0.9293581945839938,1.0,1.0
52,wiedza,1.1498149094020726,2.2395150325318056,1.5140849677615213,0.65426968608584,1.825840682223355,2.4147332623341597,2.973725687447212,1.785846803215853,-1.4797450986688883,-0.46668899555426946,-0.2568343676337361,-0.2993873819257222,1.056767080734618,1.0,0.0
53,zaciekłość,-0.2505059480200576,0.30044209842712744,-0.7527617975672285,1.601409828735156,1.0013866699498999,-0.7526605845004738,0.5615174727552771,1.6569458465589155,-1.1688330873276875,0.8272701505680826,1.2606926449710896,1.3451304483280615,-0.8395310219482691,1.0,-1.0
54,opisywanie,0.5646512831178974,0.8943356485912243,0.23898366226410017,-1.0145010414391433,0.5363100476417977,1.4919492282169828,-0.26552534371052866,0.7780756875343406,-1.0259458650942908,-0.2547474112756139,0.75006126755416,1.3451304483280615,-0.9392576255752104,-1.0,1.0
55,linia,-0.07452340559681717,0.3550047567460922,0.002853790875688149,-1.6459278032053535,0.15579281120789507,0.8684465024621336,-0.2195785205735394,-0.3351598472301211,0.8054581846889044,-1.3256101528941164,-0.8740218824248902,-0.710516839489168,0.9811073509744752,-1.0,0.0
56,rosa,0.3094385051447988,0.6181212363850143,0.4278875593748288,-1.6459278032053535,-0.4149830434429584,-0.2039781858362072,-0.2884987552790233,-0.8038905987098943,0.7730439537192902,-0.3328311528519624,-0.16165219997923247,-1.121646297052614,0.3860125097151303,-1.0,-1.0
57,kiosk,0.06486506583141448,-0.4256609699713775,0.20749967941231195,-1.2174596434354252,-0.35156350403730746,1.1178475927640736,-0.6790467519434316,-1.038255974449781,1.1782218408394662,-0.6786305798329374,-1.0757601874536182,-0.710516839489168,-0.24703212998935017,0.0,1.0
58,skrzynia,0.1921168101959716,0.39929168896254513,0.23898366226410017,-0.022258987235099,-0.07674549994615606,0.24494377670728457,-0.47228604782697986,-1.1202838559587414,0.8378724156585184,-0.8682625236612144,-0.3873357044178986,0.5228715332011696,0.21472361384210958,0.0,0.0
59,źrebię,1.1645260937216735,0.17872539910021287,0.6640174307632408,-0.9242972183296847,-0.7532205869397597,-0.2039781858362072,-0.9087808676283778,-1.038255974449781,0.9837364550217815,-0.2212829506000354,0.3352106877769829,-0.2993873819257222,-0.7153778429179444,0.0,-1.0
60,wódka,-1.0711652788489747,-1.67372750581641,0.3964035765230406,2.007327032727719,-0.6475213545970094,-0.503259494198535,0.4007035917758152,-1.14372039353273,1.3078787647179226,0.4591610831367221,1.2858351043515244,-0.710516839489168,0.3042062348602975,1.0,1.0
61,drzazga,-0.9704345306605873,-1.3158267568591844,-1.2722475146217336,0.4062091725348292,-1.0491784374994617,0.269883885737478,-1.2763554527242915,-0.8038905987098943,0.562351452416799,-0.8013336023100579,-1.4211696889419754,0.11174207563772375,-0.6152389390605115,1.0,0.0
62,odpływ,-0.530937899112475,-0.5670891791030876,-0.0601141748278883,-0.13501376612192234,-0.8300143149275545,0.1950635586468966,0.10204924138538547,-0.17110408421220033,-0.3452470147323952,0.5930189258390351,-0.9584287103449217,-0.2993873819257222,0.014739684221035975,1.0,-1.0
63,strona,0.10501433970366252,0.8040974059867847,0.1445317137087355,-1.4880711127638009,0.02895373239659419,1.092907483733879,-0.4952594593954745,-0.20625889057318333,0.2057949117510438,-0.48899863600466137,-0.7662684850801688,-0.2993873819257222,0.8772867158174361,-1.0,1.0
64,siateczka,-0.03117286728727726,-0.5792308695531857,0.002853790875688149,-1.5557239800958949,-0.4995424293171589,0.39458443088844847,-0.8168872213543994,-0.7804540611359057,0.49752299047757076,0.1356712966061326,-0.9267013211267539,0.9340009907646155,-0.9293581945839938,-1.0,0.0
65,delikatność,1.3191161222801622,0.9866724549771592,1.4196330192061575,-1.1272558203259666,-0.5206822757857086,-1.9497858179497847,1.3426134660840947,1.5280448899019776,-0.8638747102462209,0.1579809370565176,2.2466362306752896,1.7562599058915074,0.03964046663106903,-1.0,-1.0
66,region,0.2261134377095523,0.011260009336624483,0.08156374800515906,-0.8115424394428619,-0.07674549994615606,1.3921887920962068,0.285836533933342,0.3444997424155502,-1.1393956734879405,0.24721949885805963,-1.0494204681026866,-0.2993873819257222,-0.17108153948228058,0.0,1.0
67,jarzmo,-0.597138228550683,-0.8159938333301123,-0.8301599220778719,0.37520160834095295,-1.5418662878481182,0.07686912889511076,0.0725119979401729,0.4473009185923669,-2.3264841933853346,1.89221400798544,-1.1398135958752027,-0.2993873819257222,-0.20401500751066048,0.0,0.0
68,armata,-0.2505059480200576,-0.18685888449050447,-0.35921201191987606,0.4062091725348292,1.593302371069304,0.17012344961670206,-0.31147216684751794,-0.9562280929408208,1.0485649169610098,-0.5113082764550464,-0.16165219997923247,-0.2993873819257222,-0.4751910164836792,0.0,-1.0
69,grzywna,-1.3951543029591,-1.4920208280459613,-1.5713453517137213,1.3344801481051263,-1.091458130436562,0.8933866114923271,0.1250226529538796,-0.07257496706441292,-0.7504249018525712,0.8384249707932752,-0.5992507191958505,0.11174207563772375,-1.050253028061619,1.0,1.0
70,spódnica,0.6080755468327222,0.29543783094816845,0.8529213278739695,-0.20266663345401634,-0.3304236575687578,-0.17903807680601264,-0.5641796941009584,-0.9327915553668321,1.0161506859913956,-1.1025137483902618,0.5932202114190658,0.5228715332011696,-0.016468375469799172,1.0,0.0
71,dzięcioł,0.42712797970161387,-0.07310225467961878,0.3806615850971468,-0.4281761912276625,-0.05560565347760638,-0.2787985129267886,-0.7709403982174101,-1.003101168088798,1.0485649169610098,-0.7009402202833229,-0.32926859584879886,0.5228715332011696,-0.6099085906588545,1.0,-1.0
72,druk,-0.09328016560430771,0.3398950975193006,0.25472565368999395,-1.3527653780996134,0.2826318900191959,1.342308574035819,-0.6330999288064423,-0.6515531044789681,0.384073182083921,-0.32167633262676987,-1.2020711143410416,-1.121646297052614,0.22439781194183012,-1.0,1.0
73,mech,0.2751561916857281,0.4891029823838473,0.47511353365251147,-1.6684787589827181,-0.4784025828486083,0.5941053031300004,-0.8168872213543994,-1.0616925120237697,0.8054581846889044,-0.4332245348786969,0.250803859856951,-1.121646297052614,0.27798134976234085,-1.0,0.0
