,POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency,cond_arousal,cond_origin
40,zmuszanie,-1.5623758097205784,-1.6205831871566645,-0.028630191976100075,-0.5634819258918505,-0.16130488582035662,0.4195245399186419,-0.05876463959407697,0.039824753953697584,-0.021104705036254924,-1.046739647264298,0.6638585496783831,0.9340009907646155,-0.9392576255752104,0.0,0.0
41,postęp,1.2576777725579038,1.5598698243995794,1.1992451392436398,0.5866168187537465,1.529882831663653,2.3399129352435772,0.8142250000087186,1.4342987396060234,-1.3500881747904316,0.31414842020921663,0.9727516220665842,-0.2993873819257222,0.5856933391213881,0.0,1.0
42,impreza,1.1369426231224222,-0.5913027801731106,1.4668589934838394,2.1651837231692723,0.5151702011732471,-1.850025381829009,0.21691629922785813,0.08669782910167495,1.0809791479306239,0.10220683593055412,1.6587815851613101,0.11174207563772375,-0.1553657376922167,1.0,-1.0
43,śnieg,-0.8921089672714555,-0.22105100127526742,0.8056953535962875,-0.3605233238955685,-0.3304236575687578,0.1950635586468966,0.17096947609086885,-0.9796646305148093,1.344923600111762,-1.816422242802597,0.5088133834990338,-0.710516839489168,1.5322370433229295,1.0,0.0
44,makrela,-0.6469110688320019,-1.073148610555281,0.3806615850971468,-0.834093395220226,-0.4784025828486083,0.5442250850696124,-1.3452756874297753,-1.0851290495977584,0.7892510692040969,0.2249098584076746,-1.3966258595467886,0.11174207563772375,-0.980856174003729,1.0,1.0
45,furia,-0.7571223580263562,-1.1786256547730654,-1.68153929169498,3.106340959183776,0.27012055231331705,-3.022210506248125,1.4574805239265674,1.912356276446874,-0.11040921893212755,1.2511533191254067,0.7255174381589733,-0.710516839489168,0.08612545924172738,-1.0,-1.0
46,sadyzm,-1.801616444718107,-0.04582092552013618,-2.201025008749485,2.6162028387165646,-0.053448526286938684,-0.45337927613814705,0.03312900667990157,1.4460170083930173,-1.019992230834566,1.1730695775490572,1.344500842905873,-0.2993873819257222,-0.9392576255752104,-1.0,0.0
47,gen,0.6808959092147524,1.4399622317808505,0.03433777372747637,-0.7664405278881326,0.34605142942484685,1.6166497733679521,0.7453047653032342,-0.4406242663130702,-0.6531822089437289,1.5411786449804177,-0.5046671815265953,-1.5327757546160599,0.6290058730341732,-1.0,1.0
48,psalm,0.2614432663020969,-0.04297287467381949,0.23898366226410017,-0.7889914836654972,-0.013325960540506096,-0.3536188400173711,-0.5182328709639691,0.18044397939762943,-0.3776612457020093,0.5483996449382641,-0.8099684740033058,-0.710516839489168,-0.4918229770660573,0.0,-1.0
49,ryż,0.47831064181356675,0.5392813439376799,0.5065975165042997,-1.1498067761033313,-0.20358457875745692,0.17012344961670206,-0.6330999288064423,-0.9679463617278151,1.259257418263501,-1.1582878495162254,-0.0305522332098212,-1.5327757546160599,0.0805371859005631,0.0,0.0
50,dyktator,-1.9355000858848104,-0.693954278036808,-1.7287652659726624,1.6239607845125201,1.8681203751604554,1.9907514088208613,0.538544061186783,-0.14766754663821188,-0.15076162891471062,1.4965593640796466,-1.3762724400483415,0.5228715332011696,-0.11291730450638678,0.0,1.0
51,fajerwerk,0.2614432663020969,-0.6503687225749188,1.026083233558805,1.5788588729577908,0.8534077446700493,-1.7752050547384266,-0.4952594593954745,-0.827327136283883,0.8984010306323895,-0.6005468382565884,-0.6902424769536154,0.9340009907646155,-0.690021379274617,1.0,-1.0
52,ferie,0.7581296268926653,-0.02063816014215583,1.577052933465098,0.15814865898381833,0.42111945566010034,-0.8524210206212497,0.17096947609086885,0.3562180112025443,-0.05351893600586903,-0.3551407933023484,-1.3080286217300179,-0.710516839489168,-0.48761482117293903,1.0,0.0
53,skala,-0.4754836300952231,-1.115488864432552,0.16027370513462927,-1.172357731880696,0.4094709688304968,1.1677278108244615,-0.7020201635119262,0.6608929996643972,-0.5559395160348866,0.34761288088479414,-0.8458862731182129,-0.710516839489168,-0.15096143664413814,1.0,1.0
54,wściekłość,-0.34520919707749553,-1.2976142211840345,-1.807475223102133,2.954467175377034,0.17693265767644567,-2.7229291978857977,1.7101880511800078,1.9264660286597852,-0.11834739794509652,0.1802905775069036,0.5902270614928233,1.3451304483280615,1.0709542300602763,-1.0,-1.0
