POLISHword,Ciepło_M,Kompetencja_M,Valence_M,arousal_M,dominance_M,origin_M,significance_M,concretness_M,imegability_M,ageOfAquisition_M,AUTOMATICITYmean,NumberofLetters,Kazojć2011frequency
priorytet,-0.049636985456154886,1.3266397875799276,0.7427273878927111,0.248352482093277,2.079518839845957,1.2924283559754308,1.756134874316997,1.3757073956710513,-1.3500881747904316,1.2399984989002142,0.5495202224959286,0.9340009907646155,-0.6206245252167272
przewodnik,0.7147316331498378,1.4705606456272164,0.7427273878927111,-0.4056252354502978,1.4030437528523532,1.342308574035819,0.4236770033443093,-0.15938581542520625,0.6271799143560272,-0.04280582699695139,-0.638161668237,1.3451304483280615,0.8674922320363652
zjednoczenie,1.3355436114370463,1.3874981372433879,0.7427273878927111,-0.3605233238955685,0.8322678982014997,0.39458443088844847,0.7912515884402235,1.5514814274759663,-1.528366445123309,0.6822574876405771,1.8353774308096036,2.1673893634549533,-0.27969446288643895
puch,1.3796771643958552,-0.04499648974883711,0.7584693793186048,-1.5106220685411655,-0.4784025828486083,-0.7027803664400858,-0.5182328709639691,-0.7218627172009342,0.384073182083921,-0.2324377708252279,1.0278255807094419,-1.121646297052614,0.03964046663106903
balon,0.6027427425168664,-0.19481895400653332,0.7584693793186048,-0.8791953067749554,-0.18244473228890631,-0.2289182948664006,-0.7939138097859048,-1.073410780810764,1.2754645337483077,-1.693719220325477,0.2753476892521377,-0.710516839489168,0.4141114832228768
curry,1.442659422264151,0.19986093432815877,0.7584693793186048,-0.32232476615023486,0.007813885928044518,-0.2039781858362072,-1.3809079176176384,-0.7063180749324709,0.6433870298408338,1.0503665550719377,0.03649432513800526,-0.710516839489168,0.13641598304428393
dzień,1.2533448690512712,1.0223480392626392,0.7584693793186048,-0.4958290585597565,0.5151702011732471,0.22000366767709004,0.8371984115772128,0.3093449360545669,0.1247593343270089,-1.8387318832529824,-0.5052658115118438,-0.710516839489168,2.533200627631252
wanna,1.4016758335404453,0.33101306810895553,0.7584693793186048,-1.2400105992127899,-0.05560565347760638,-0.2787985129267886,-0.5412062825324637,-0.897636749005849,1.194428956324273,-1.225216770867382,0.5590983022599041,-0.710516839489168,-0.2658348571834977
klimat,1.1725627592296048,0.7199300086073924,0.7584693793186048,-0.13501376612192234,0.13465296473934538,0.44446464894883647,0.285836533933342,0.21559878575861247,-1.1880170199423612,0.5483996449382641,0.5806489817288483,-0.2993873819257222,0.49727795866813745
poezja,1.592866743827424,1.688822950559249,0.7584693793186048,-1.3527653780996134,0.93796713054425,-1.5008638554062934,0.9520654694196864,0.9069766441912781,-0.5235252850652724,0.5260900044878781,2.575882722561938,-0.2993873819257222,0.5738691506073174
smoking,0.3467681353557894,0.8939609050588112,0.7584693793186048,-0.2928704565634745,1.2762046740410522,1.2924283559754308,-1.506089568409238,-0.9679463617278151,0.931476776519749,1.5634882854308036,0.2555928997389389,0.11174207563772375,-0.30561307305648056
bielizna,0.8647857132097807,-0.11065930994160768,0.7584693793186048,0.4600553322481213,-0.18244473228890631,-0.8274809115910563,0.10204924138538547,-0.9562280929408208,0.9675293395369748,-0.2324377708252279,0.6375188303274509,0.5228715332011696,-0.03367870350343245
