,features,rating,image,dim,level
427,"('28', 'flow', 'trustworthy', '2')",59.28393939393939,28,trustworthy,2
428,"('28', 'flow', 'trustworthy', '3')",65.50809523809524,28,trustworthy,3
429,"('28', 'flow', 'trustworthy', '4')",62.302307692307686,28,trustworthy,4
441,"('29', 'flow', 'attractive', '1')",56.49243243243243,29,attractive,1
442,"('29', 'flow', 'attractive', '2')",56.36714285714286,29,attractive,2
443,"('29', 'flow', 'attractive', '3')",58.27666666666667,29,attractive,3
444,"('29', 'flow', 'attractive', '4')",57.56428571428571,29,attractive,4
446,"('29', 'flow', 'trustworthy', '1')",54.79837837837838,29,trustworthy,1
447,"('29', 'flow', 'trustworthy', '2')",60.294642857142854,29,trustworthy,2
448,"('29', 'flow', 'trustworthy', '3')",55.450303030303026,29,trustworthy,3
449,"('29', 'flow', 'trustworthy', '4')",64.49666666666667,29,trustworthy,4
461,"('3', 'flow', 'attractive', '1')",46.55965517241379,3,attractive,1
462,"('3', 'flow', 'attractive', '2')",49.480000000000004,3,attractive,2
463,"('3', 'flow', 'attractive', '3')",60.378499999999995,3,attractive,3
464,"('3', 'flow', 'attractive', '4')",60.57342857142858,3,attractive,4
466,"('3', 'flow', 'trustworthy', '1')",50.64793103448276,3,trustworthy,1
467,"('3', 'flow', 'trustworthy', '2')",51.977333333333334,3,trustworthy,2
468,"('3', 'flow', 'trustworthy', '3')",58.31725,3,trustworthy,3
469,"('3', 'flow', 'trustworthy', '4')",56.568000000000005,3,trustworthy,4
481,"('30', 'flow', 'attractive', '1')",55.286857142857144,30,attractive,1
482,"('30', 'flow', 'attractive', '2')",55.40297297297297,30,attractive,2
483,"('30', 'flow', 'attractive', '3')",65.56821428571429,30,attractive,3
484,"('30', 'flow', 'attractive', '4')",64.1939393939394,30,attractive,4
486,"('30', 'flow', 'trustworthy', '1')",59.39914285714285,30,trustworthy,1
487,"('30', 'flow', 'trustworthy', '2')",61.97837837837837,30,trustworthy,2
488,"('30', 'flow', 'trustworthy', '3')",68.24821428571428,30,trustworthy,3
489,"('30', 'flow', 'trustworthy', '4')",60.60848484848485,30,trustworthy,4
501,"('31', 'flow', 'attractive', '1')",73.1865,31,attractive,1
502,"('31', 'flow', 'attractive', '2')",71.644,31,attractive,2
503,"('31', 'flow', 'attractive', '3')",76.16864864864864,31,attractive,3
504,"('31', 'flow', 'attractive', '4')",77.8075,31,attractive,4
506,"('31', 'flow', 'trustworthy', '1')",61.70725,31,trustworthy,1
507,"('31', 'flow', 'trustworthy', '2')",65.12400000000001,31,trustworthy,2
508,"('31', 'flow', 'trustworthy', '3')",63.494864864864866,31,trustworthy,3
509,"('31', 'flow', 'trustworthy', '4')",58.487500000000004,31,trustworthy,4
521,"('32', 'flow', 'attractive', '1')",33.12133333333333,32,attractive,1
522,"('32', 'flow', 'attractive', '2')",44.91275,32,attractive,2
523,"('32', 'flow', 'attractive', '3')",49.67142857142857,32,attractive,3
524,"('32', 'flow', 'attractive', '4')",50.48135135135135,32,attractive,4
526,"('32', 'flow', 'trustworthy', '1')",51.446000000000005,32,trustworthy,1
527,"('32', 'flow', 'trustworthy', '2')",50.7605,32,trustworthy,2
528,"('32', 'flow', 'trustworthy', '3')",51.611428571428576,32,trustworthy,3
529,"('32', 'flow', 'trustworthy', '4')",62.02594594594595,32,trustworthy,4
541,"('33', 'flow', 'attractive', '1')",48.077241379310344,33,attractive,1
542,"('33', 'flow', 'attractive', '2')",44.54066666666667,33,attractive,2
543,"('33', 'flow', 'attractive', '3')",66.13575,33,attractive,3
544,"('33', 'flow', 'attractive', '4')",75.72914285714286,33,attractive,4
546,"('33', 'flow', 'trustworthy', '1')",57.199999999999996,33,trustworthy,1
547,"('33', 'flow', 'trustworthy', '2')",54.57966666666666,33,trustworthy,2
548,"('33', 'flow', 'trustworthy', '3')",55.908,33,trustworthy,3
549,"('33', 'flow', 'trustworthy', '4')",59.539142857142856,33,trustworthy,4
561,"('34', 'flow', 'attractive', '1')",51.83205128205128,34,attractive,1
562,"('34', 'flow', 'attractive', '2')",56.39793103448276,34,attractive,2
563,"('34', 'flow', 'attractive', '3')",48.99433333333333,34,attractive,3
564,"('34', 'flow', 'attractive', '4')",54.958000000000006,34,attractive,4
566,"('34', 'flow', 'trustworthy', '1')",45.01615384615385,34,trustworthy,1
567,"('34', 'flow', 'trustworthy', '2')",47.80034482758621,34,trustworthy,2
568,"('34', 'flow', 'trustworthy', '3')",54.65466666666667,34,trustworthy,3
569,"('34', 'flow', 'trustworthy', '4')",58.318,34,trustworthy,4
581,"('35', 'flow', 'attractive', '1')",34.84538461538462,35,attractive,1
582,"('35', 'flow', 'attractive', '2')",40.275897435897434,35,attractive,2
583,"('35', 'flow', 'attractive', '3')",45.5251724137931,35,attractive,3
584,"('35', 'flow', 'attractive', '4')",44.78866666666667,35,attractive,4
586,"('35', 'flow', 'trustworthy', '1')",46.02538461538462,35,trustworthy,1
587,"('35', 'flow', 'trustworthy', '2')",44.49948717948718,35,trustworthy,2
588,"('35', 'flow', 'trustworthy', '3')",47.58724137931034,35,trustworthy,3
589,"('35', 'flow', 'trustworthy', '4')",44.96033333333333,35,trustworthy,4
601,"('36', 'flow', 'attractive', '1')",29.57857142857143,36,attractive,1
602,"('36', 'flow', 'attractive', '2')",40.92346153846154,36,attractive,2
603,"('36', 'flow', 'attractive', '3')",47.230000000000004,36,attractive,3
604,"('36', 'flow', 'attractive', '4')",51.34655172413793,36,attractive,4
606,"('36', 'flow', 'trustworthy', '1')",50.451904761904764,36,trustworthy,1
607,"('36', 'flow', 'trustworthy', '2')",51.096923076923076,36,trustworthy,2
608,"('36', 'flow', 'trustworthy', '3')",57.19717948717949,36,trustworthy,3
609,"('36', 'flow', 'trustworthy', '4')",56.31965517241379,36,trustworthy,4
621,"('37', 'flow', 'attractive', '1')",65.49060606060607,37,attractive,1
622,"('37', 'flow', 'attractive', '2')",69.49738095238095,37,attractive,2
623,"('37', 'flow', 'attractive', '3')",67.92923076923077,37,attractive,3
624,"('37', 'flow', 'attractive', '4')",75.28282051282052,37,attractive,4
626,"('37', 'flow', 'trustworthy', '1')",59.60515151515152,37,trustworthy,1
627,"('37', 'flow', 'trustworthy', '2')",54.7102380952381,37,trustworthy,2
628,"('37', 'flow', 'trustworthy', '3')",63.08923076923077,37,trustworthy,3
629,"('37', 'flow', 'trustworthy', '4')",66.7125641025641,37,trustworthy,4
641,"('38', 'flow', 'attractive', '1')",57.83821428571429,38,attractive,1
642,"('38', 'flow', 'attractive', '2')",59.64848484848485,38,attractive,2
643,"('38', 'flow', 'attractive', '3')",61.73952380952381,38,attractive,3
644,"('38', 'flow', 'attractive', '4')",64.93307692307692,38,attractive,4
646,"('38', 'flow', 'trustworthy', '1')",49.51714285714286,38,trustworthy,1
647,"('38', 'flow', 'trustworthy', '2')",51.17424242424242,38,trustworthy,2
648,"('38', 'flow', 'trustworthy', '3')",53.83071428571428,38,trustworthy,3
649,"('38', 'flow', 'trustworthy', '4')",52.11538461538461,38,trustworthy,4
661,"('39', 'flow', 'attractive', '1')",60.72135135135135,39,attractive,1
662,"('39', 'flow', 'attractive', '2')",60.68464285714286,39,attractive,2
663,"('39', 'flow', 'attractive', '3')",66.9639393939394,39,attractive,3
664,"('39', 'flow', 'attractive', '4')",72.45857142857142,39,attractive,4
666,"('39', 'flow', 'trustworthy', '1')",56.182702702702706,39,trustworthy,1
667,"('39', 'flow', 'trustworthy', '2')",62.549642857142864,39,trustworthy,2
668,"('39', 'flow', 'trustworthy', '3')",55.72060606060606,39,trustworthy,3
669,"('39', 'flow', 'trustworthy', '4')",58.91904761904762,39,trustworthy,4
681,"('4', 'flow', 'attractive', '1')",60.60025641025641,4,attractive,1
682,"('4', 'flow', 'attractive', '2')",62.281724137931036,4,attractive,2
683,"('4', 'flow', 'attractive', '3')",60.693666666666665,4,attractive,3
684,"('4', 'flow', 'attractive', '4')",72.89425,4,attractive,4
686,"('4', 'flow', 'trustworthy', '1')",59.97102564102564,4,trustworthy,1
687,"('4', 'flow', 'trustworthy', '2')",58.63,4,trustworthy,2
688,"('4', 'flow', 'trustworthy', '3')",60.31733333333333,4,trustworthy,3
689,"('4', 'flow', 'trustworthy', '4')",65.9525,4,trustworthy,4
701,"('40', 'flow', 'attractive', '1')",47.87771428571428,40,attractive,1
702,"('40', 'flow', 'attractive', '2')",51.504864864864864,40,attractive,2
703,"('40', 'flow', 'attractive', '3')",56.5525,40,attractive,3
704,"('40', 'flow', 'attractive', '4')",57.88484848484848,40,attractive,4
706,"('40', 'flow', 'trustworthy', '1')",50.373714285714286,40,trustworthy,1
707,"('40', 'flow', 'trustworthy', '2')",50.60324324324324,40,trustworthy,2
708,"('40', 'flow', 'trustworthy', '3')",57.205,40,trustworthy,3
709,"('40', 'flow', 'trustworthy', '4')",47.983939393939394,40,trustworthy,4
721,"('41', 'flow', 'attractive', '1')",37.2645,41,attractive,1
722,"('41', 'flow', 'attractive', '2')",46.533142857142856,41,attractive,2
723,"('41', 'flow', 'attractive', '3')",49.46675675675676,41,attractive,3
724,"('41', 'flow', 'attractive', '4')",49.55142857142857,41,attractive,4
726,"('41', 'flow', 'trustworthy', '1')",51.50975,41,trustworthy,1
727,"('41', 'flow', 'trustworthy', '2')",57.434000000000005,41,trustworthy,2
728,"('41', 'flow', 'trustworthy', '3')",57.75756756756757,41,trustworthy,3
729,"('41', 'flow', 'trustworthy', '4')",64.1557142857143,41,trustworthy,4
