,features,rating,image,dim,level
211,"('18', 'vector', 'attractive', '1')",39.40724137931034,18,attractive,1
212,"('18', 'vector', 'attractive', '2')",38.72633333333333,18,attractive,2
213,"('18', 'vector', 'attractive', '3')",43.41775,18,attractive,3
214,"('18', 'vector', 'attractive', '4')",49.23085714285714,18,attractive,4
215,"('18', 'vector', 'trustworthy', '0')",62.27538461538461,18,trustworthy,0
216,"('18', 'vector', 'trustworthy', '1')",60.10068965517242,18,trustworthy,1
217,"('18', 'vector', 'trustworthy', '2')",50.981,18,trustworthy,2
218,"('18', 'vector', 'trustworthy', '3')",55.5825,18,trustworthy,3
219,"('18', 'vector', 'trustworthy', '4')",53.53485714285714,18,trustworthy,4
230,"('19', 'vector', 'attractive', '0')",56.91730769230769,19,attractive,0
231,"('19', 'vector', 'attractive', '1')",58.53179487179488,19,attractive,1
232,"('19', 'vector', 'attractive', '2')",60.82103448275862,19,attractive,2
233,"('19', 'vector', 'attractive', '3')",55.56066666666666,19,attractive,3
234,"('19', 'vector', 'attractive', '4')",64.288,19,attractive,4
235,"('19', 'vector', 'trustworthy', '0')",41.150000000000006,19,trustworthy,0
236,"('19', 'vector', 'trustworthy', '1')",43.93666666666667,19,trustworthy,1
237,"('19', 'vector', 'trustworthy', '2')",42.798965517241385,19,trustworthy,2
238,"('19', 'vector', 'trustworthy', '3')",47.734,19,trustworthy,3
239,"('19', 'vector', 'trustworthy', '4')",39.66125,19,trustworthy,4
250,"('2', 'vector', 'attractive', '0')",42.785000000000004,2,attractive,0
251,"('2', 'vector', 'attractive', '1')",43.10242424242424,2,attractive,1
252,"('2', 'vector', 'attractive', '2')",42.64714285714286,2,attractive,2
253,"('2', 'vector', 'attractive', '3')",37.23461538461539,2,attractive,3
254,"('2', 'vector', 'attractive', '4')",40.97666666666667,2,attractive,4
255,"('2', 'vector', 'trustworthy', '0')",41.00642857142857,2,trustworthy,0
256,"('2', 'vector', 'trustworthy', '1')",41.0739393939394,2,trustworthy,1
257,"('2', 'vector', 'trustworthy', '2')",41.14261904761905,2,trustworthy,2
258,"('2', 'vector', 'trustworthy', '3')",38.46038461538462,2,trustworthy,3
259,"('2', 'vector', 'trustworthy', '4')",44.33948717948718,2,trustworthy,4
270,"('20', 'vector', 'attractive', '0')",47.022380952380956,20,attractive,0
271,"('20', 'vector', 'attractive', '1')",55.87961538461538,20,attractive,1
272,"('20', 'vector', 'attractive', '2')",53.859743589743594,20,attractive,2
273,"('20', 'vector', 'attractive', '3')",55.435172413793104,20,attractive,3
274,"('20', 'vector', 'attractive', '4')",51.50633333333334,20,attractive,4
