photo,Theta,sigma,n
135.jpg,0.36179969203063234,0.6072828448227311,35
136.jpg,-1.3159745887645666,1.9533339548804736,33
137.jpg,0.25870902694232095,0.6898325263747299,33
138.jpg,0.40609708775735587,0.5718356765234445,37
139.jpg,0.3103895645050823,0.648449223136563,38
14.jpg,0.3208580154325847,0.6400628541039587,42
140.jpg,0.3993226837306833,0.5772440253066625,40
141.jpg,0.3274847248920031,0.6347690598350124,35
142.jpg,0.31159256249106543,0.6474693809933764,42
143.jpg,0.3954545054324566,0.580352979588027,37
144.jpg,0.4150643305448905,0.5646533340729387,38
145.jpg,0.33366702502120105,0.6297933165199763,37
146.jpg,0.4102452510704305,0.5685126104572664,35
147.jpg,0.48562930362720585,0.508097919716737,36
148.jpg,0.4075303622347898,0.5706809995141904,38
149.jpg,0.5002949380943135,0.496348373265145,42
15.jpg,0.2385582445255318,0.706057229282098,40
150.jpg,0.3523152990760913,0.6149214999972229,37
151.jpg,0.431349414972469,0.5515933497079113,40
152.jpg,-3.9065824050851674,4.023569107328808,40
153.jpg,0.33431844484924444,0.6292943022130097,38
154.jpg,0.43055610131065036,0.5522430770403227,37
155.jpg,0.31331888464987184,0.6460846630084497,36
156.jpg,0.35015694010571385,0.6165969336757311,38
157.jpg,-3.6398955039641385,3.812189985437888,38
158.jpg,0.42845659619026233,0.5539329358404023,38
159.jpg,0.3414799625381649,0.6235429963875517,41
16.jpg,0.500952048184793,0.49582453560647016,42
160.jpg,0.4546751976988474,0.5329404596470434,39
161.jpg,0.28765207690723155,0.6666642171132213,39
162.jpg,0.3565746942173972,0.611471728027646,38
163.jpg,0.4692446985396067,0.5212433326964505,39
164.jpg,-3.507284724572245,3.70528823507494,40
165.jpg,0.3596453563777697,0.609011233344851,39
166.jpg,0.2614725361509266,0.6877294269153714,35
167.jpg,0.4350967985602898,0.5485994431615753,40
168.jpg,0.31769891141910267,0.6425941615339759,38
169.jpg,0.41512694255178295,0.564585204187219,35
17.jpg,0.19873131294950808,0.7408962870365016,39
170.jpg,0.4152930761771528,0.5644727741488605,34
171.jpg,0.3505213183444397,0.6163700758669945,40
172.jpg,-0.8678249164524755,1.5937409787799266,34
173.jpg,0.3470494109309953,0.6192741746505234,38
174.jpg,-2.568951785014079,2.95686240547402,41
175.jpg,0.28508069947422454,0.6687070276034115,42
176.jpg,0.23718962211611916,0.7117334685725175,38
177.jpg,0.37702980876835035,0.595090140837332,38
178.jpg,0.2837543808355673,0.669869209702459,37
179.jpg,0.3434835692832525,0.6219690643785866,42
18.jpg,0.28270253108472126,0.6706622642742119,50
180.jpg,0.31671218412136526,0.6433831976964955,38
181.jpg,0.36180387961047705,0.6072756976972379,40
182.jpg,0.33738372496694813,0.6268313456702227,41
183.jpg,0.3135714218533385,0.6458864855986944,40
184.jpg,0.3507458715697967,0.616131302860216,41
185.jpg,0.29902313572510547,0.6575418999021626,36
186.jpg,0.30137243526886137,0.6556566137550985,38
187.jpg,0.3125372548659139,0.6467141060544573,40
188.jpg,0.2592575146595748,0.6894661528628205,37
189.jpg,0.4535680039278891,0.5338134702366809,34
19.jpg,0.2817405966585238,0.67137809970241,46
190.jpg,0.3967127174610744,0.579323193996594,41
191.jpg,0.3513737443115899,0.6156418130818543,35
192.jpg,0.35974968390361356,0.608934205951794,36
193.jpg,0.4489997805893735,0.5374444629323223,36
194.jpg,-2.92257297417363,3.23826275939539,36
195.jpg,0.32871505740918194,0.6337872171094932,39
196.jpg,0.33819899795027336,0.6261833532991004,40
197.jpg,0.4273448871326793,0.5548138645800551,34
198.jpg,0.37514100104844733,0.5966086415562049,34
199.jpg,0.3564483584553197,0.6115747081635325,33
2.jpg,0.32000473122122086,0.6407597527726238,50
20.jpg,0.28402402495253826,0.6695699817185227,44
200.jpg,0.4622572809054114,0.5268527062979149,35
201.jpg,0.4557418132805322,0.5320581880384374,38
202.jpg,0.3373168456396162,0.6269020998599305,33
203.jpg,0.3207853059763176,0.6401093390088042,37
204.jpg,0.26486781168987583,0.6849141221811095,36
205.jpg,0.32267001270959705,0.6386801601550014,32
206.jpg,0.35693822776519857,0.6111789188435639,33
207.jpg,0.24636287701863618,0.6998480693397849,36
208.jpg,0.34546855249231545,0.6203581853617288,35
209.jpg,0.2987622575250443,0.6577901406735313,37
21.jpg,0.2961849858875527,0.6598502448927457,39
210.jpg,0.31245684071310426,0.6467920611629522,39
211.jpg,0.3373313224642968,0.6268671279980829,37
212.jpg,0.3754658715101357,0.5963411590363269,36
213.jpg,0.3381859894881627,0.6261900706528347,35
214.jpg,-0.804902636321934,1.5467489911609853,33
215.jpg,0.35527613140291836,0.6125414200148563,39
216.jpg,0.3132857979795228,0.646131436526972,35
217.jpg,0.2042769937676355,0.7337545360291005,38
218.jpg,-4.044677698432527,4.1334154175043665,36
219.jpg,0.3198089774787335,0.640934169057094,37
22.jpg,0.36094839639319576,0.6079834042699178,42
220.jpg,0.2888706390244213,0.6658354326210166,34
221.jpg,0.35948544682234557,0.6091539596638516,35
222.jpg,0.2890141593142208,0.6656011117707873,35
223.jpg,0.4088233370009191,0.5696416757711603,36
224.jpg,0.2819643015360667,0.6711926121679201,34
225.jpg,0.3799796712777137,0.5927257263614925,35
226.jpg,-3.4103814640914134,3.627865124586263,37
